Purchase ID,Datum,Leverantör,Produkt,Kategori,Enhet,Antal,Antal kvar,Pris Ex.m,Locked,Verifikat,Date created,Date modified,Date counted
120,2023-12-13,Liljeholmens Stearinfabriks AB,Kort kronljus (4p),Ljus,Pkt,20,4,1431.2,1,A419,2024-01-03T15:37:06.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
121,2022-06-15,Fargbroderna I Malung Aktiebolag,Träskruv TKT EZF 2.5x16mm FZB,Skruv,Pkt 200,35,0,705.6,1,A211,2024-01-03T15:41:35.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
122,2023-09-18,BOLIST Handelsgruppen Malung,TRÄLIM D2 INNE,Lim,Dunk,1,0,318.44,1,A270,2024-01-03T17:11:00.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
123,2023-11-01,Verktygsboden,"Hagmans Plastprimer, 400 ml",Farg,St,6,0,480,1,A315,2024-01-03T18:14:47.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
124,2024-03-15,Happy Homes,Snickerislip Scotte Bas C S7020-Y50R,Farg,Liter,0.9,0.3,230.08,0,A120,2024-07-30T11:42:30.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
243,2024-03-15,Happy Homes,Snickerislip Scotte S9000-N,Farg,Liter,0.9,0.5,230.08,0,A120,2024-07-30T11:49:43.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
244,2024-02-29,BOLIST Handelsgruppen Malung,TRÄSKRUV TFT EFZ 3X16,Skruv,Pkt 250,2,0,142.42,0,A137,2024-07-30T14:00:58.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
245,2024-03-26,Lantmannen Ek For,Värp Helfoder p 20kg,Foder,Sack,30,0,4706,0,A138,2024-07-30T14:05:03.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
246,2024-05-17,Happy Homes,Snickerislip Scotte Bas C S7500-N,Farg,Liter,0.9,0.8,230.08,0,A175,2024-07-30T15:31:14.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
247,2024-05-17,Happy Homes,Snickerislip Scotte Bas C S6500-N,Farg,Liter,0.9,0.7,230.08,0,A175,2024-07-30T15:32:03.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
